266: Santa| ID:0 |Začínám
270: Santa| ID:0 |Čekám na writing
276: Santa| ID:0 |Uvolnil jsem writing
403: Skřítek| ID:1 |Začínám
284: Santa| ID:0 |Jdu spát
403: Skřítek| ID:2 |Začínám
411: Skřítek| ID:1 |Pracuji
403: Skřítek| ID:3 |Začínám
411: Skřítek| ID:2 |Pracuji
419: Skřítek| ID:1 |Potřebuji pomoc
411: Skřítek| ID:3 |Pracuji
403: Skřítek| ID:4 |Začínám
427: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:2 |Potřebuji pomoc
411: Skřítek| ID:4 |Pracuji
491: Skřítek| ID:1 |Čekám ve skřítkovské frontě
403: Skřítek| ID:5 |Začínám
427: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:6 |Začínám
411: Skřítek| ID:5 |Pracuji
491: Skřítek| ID:2 |Čekám ve skřítkovské frontě
419: Skřítek| ID:3 |Potřebuji pomoc
411: Skřítek| ID:6 |Pracuji
403: Skřítek| ID:7 |Začínám
427: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:8 |Začínám
411: Skřítek| ID:7 |Pracuji
478: Skřítek| ID:3 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
419: Skřítek| ID:4 |Potřebuji pomoc
482: Skřítek| ID:3 |Jsem třetí skřítek před dílnou, budím santu
411: Skřítek| ID:8 |Pracuji
288: Santa| ID:0 |Byl jsem probuzen
491: Skřítek| ID:3 |Čekám ve skřítkovské frontě
342: Santa| ID:0 |Čekám na writing
403: Skřítek| ID:9 |Začínám
427: Skřítek| ID:4 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:10 |Začínám
411: Skřítek| ID:9 |Pracuji
419: Skřítek| ID:5 |Potřebuji pomoc
411: Skřítek| ID:10 |Pracuji
403: Skřítek| ID:11 |Začínám
427: Skřítek| ID:5 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:6 |Potřebuji pomoc
411: Skřítek| ID:11 |Pracuji
403: Skřítek| ID:12 |Začínám
427: Skřítek| ID:6 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:13 |Začínám
411: Skřítek| ID:12 |Pracuji
403: Skřítek| ID:22 |Začínám
411: Skřítek| ID:13 |Pracuji
403: Skřítek| ID:14 |Začínám
411: Skřítek| ID:22 |Pracuji
419: Skřítek| ID:8 |Potřebuji pomoc
411: Skřítek| ID:14 |Pracuji
427: Skřítek| ID:8 |Čekám dokud je Santa vzhůru
348: Santa| ID:0 |Uvolnil jsem writing a pomáhám skřítkům
403: Skřítek| ID:15 |Začínám
495: Skřítek| ID:1 |Nyní jsem vstoupil do dílny
495: Skřítek| ID:2 |Nyní jsem vstoupil do dílny
513: Skřítek| ID:1 |Čekám na zápis
403: Skřítek| ID:16 |Začínám
513: Skřítek| ID:2 |Čekám na zápis
411: Skřítek| ID:15 |Pracuji
495: Skřítek| ID:3 |Nyní jsem vstoupil do dílny
360: Santa| ID:0 |Čekám než pomůžu všem skřítkům
513: Skřítek| ID:3 |Čekám na zápis
419: Skřítek| ID:9 |Potřebuji pomoc
411: Skřítek| ID:16 |Pracuji
403: Skřítek| ID:17 |Začínám
427: Skřítek| ID:9 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:10 |Potřebuji pomoc
411: Skřítek| ID:17 |Pracuji
419: Skřítek| ID:17 |Potřebuji pomoc
427: Skřítek| ID:10 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:19 |Začínám
427: Skřítek| ID:17 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:20 |Začínám
411: Skřítek| ID:19 |Pracuji
419: Skřítek| ID:11 |Potřebuji pomoc
411: Skřítek| ID:20 |Pracuji
403: Skřítek| ID:21 |Začínám
427: Skřítek| ID:11 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:7 |Potřebuji pomoc
411: Skřítek| ID:21 |Pracuji
419: Skřítek| ID:12 |Potřebuji pomoc
427: Skřítek| ID:7 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:23 |Začínám
427: Skřítek| ID:12 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:39 |Začínám
411: Skřítek| ID:23 |Pracuji
419: Skřítek| ID:23 |Potřebuji pomoc
411: Skřítek| ID:39 |Pracuji
419: Skřítek| ID:22 |Potřebuji pomoc
427: Skřítek| ID:23 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:25 |Začínám
427: Skřítek| ID:22 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:14 |Potřebuji pomoc
411: Skřítek| ID:25 |Pracuji
403: Skřítek| ID:26 |Začínám
427: Skřítek| ID:14 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:27 |Začínám
411: Skřítek| ID:26 |Pracuji
403: Skřítek| ID:28 |Začínám
411: Skřítek| ID:27 |Pracuji
411: Skřítek| ID:28 |Pracuji
529: Skřítek| ID:1 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::1
411: Skřítek| ID:1 |Pracuji
419: Skřítek| ID:15 |Potřebuji pomoc
529: Skřítek| ID:2 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::2
529: Skřítek| ID:3 | Dostává se mi pomoc | Kolikátý jsem dostal pomoc::3
533: Skřítek| ID:2 |Jsem poslední skřítek, kterému santa pomohl, díky santo
533: Skřítek| ID:3 |Jsem poslední skřítek, kterému santa pomohl, díky santo
403: Skřítek| ID:29 |Začínám
427: Skřítek| ID:15 |Čekám dokud je Santa vzhůru
366: Santa| ID:0 |Poslední skřítek odešel z dílny
411: Skřítek| ID:2 |Pracuji
411: Skřítek| ID:3 |Pracuji
419: Skřítek| ID:16 |Potřebuji pomoc
270: Santa| ID:0 |Čekám na writing
411: Skřítek| ID:29 |Pracuji
403: Skřítek| ID:30 |Začínám
427: Skřítek| ID:16 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:18 |Začínám
411: Skřítek| ID:30 |Pracuji
403: Skřítek| ID:31 |Začínám
411: Skřítek| ID:18 |Pracuji
403: Skřítek| ID:32 |Začínám
411: Skřítek| ID:31 |Pracuji
403: Skřítek| ID:33 |Začínám
411: Skřítek| ID:32 |Pracuji
419: Skřítek| ID:19 |Potřebuji pomoc
411: Skřítek| ID:33 |Pracuji
403: Skřítek| ID:34 |Začínám
427: Skřítek| ID:19 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:20 |Potřebuji pomoc
411: Skřítek| ID:34 |Pracuji
403: Skřítek| ID:35 |Začínám
427: Skřítek| ID:20 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:36 |Začínám
411: Skřítek| ID:35 |Pracuji
403: Skřítek| ID:37 |Začínám
411: Skřítek| ID:36 |Pracuji
419: Skřítek| ID:21 |Potřebuji pomoc
411: Skřítek| ID:37 |Pracuji
403: Skřítek| ID:38 |Začínám
427: Skřítek| ID:21 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:13 |Potřebuji pomoc
411: Skřítek| ID:38 |Pracuji
403: Skřítek| ID:40 |Začínám
427: Skřítek| ID:13 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:24 |Začínám
411: Skřítek| ID:40 |Pracuji
403: Skřítek| ID:41 |Začínám
411: Skřítek| ID:24 |Pracuji
403: Skřítek| ID:73 |Začínám
411: Skřítek| ID:41 |Pracuji
419: Skřítek| ID:41 |Potřebuji pomoc
411: Skřítek| ID:73 |Pracuji
403: Skřítek| ID:43 |Začínám
427: Skřítek| ID:41 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:44 |Začínám
411: Skřítek| ID:43 |Pracuji
419: Skřítek| ID:25 |Potřebuji pomoc
411: Skřítek| ID:44 |Pracuji
403: Skřítek| ID:45 |Začínám
427: Skřítek| ID:25 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:46 |Začínám
411: Skřítek| ID:45 |Pracuji
419: Skřítek| ID:26 |Potřebuji pomoc
411: Skřítek| ID:46 |Pracuji
403: Skřítek| ID:47 |Začínám
427: Skřítek| ID:26 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:27 |Potřebuji pomoc
411: Skřítek| ID:47 |Pracuji
403: Skřítek| ID:48 |Začínám
427: Skřítek| ID:27 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:49 |Začínám
411: Skřítek| ID:48 |Pracuji
419: Skřítek| ID:28 |Potřebuji pomoc
411: Skřítek| ID:49 |Pracuji
403: Skřítek| ID:50 |Začínám
427: Skřítek| ID:28 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:51 |Začínám
411: Skřítek| ID:50 |Pracuji
419: Skřítek| ID:1 |Potřebuji pomoc
411: Skřítek| ID:51 |Pracuji
403: Skřítek| ID:52 |Začínám
427: Skřítek| ID:1 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:53 |Začínám
411: Skřítek| ID:52 |Pracuji
419: Skřítek| ID:2 |Potřebuji pomoc
411: Skřítek| ID:53 |Pracuji
427: Skřítek| ID:2 |Čekám dokud je Santa vzhůru
276: Santa| ID:0 |Uvolnil jsem writing
419: Skřítek| ID:3 |Potřebuji pomoc
284: Santa| ID:0 |Jdu spát
288: Santa| ID:0 |Byl jsem probuzen
419: Skřítek| ID:29 |Potřebuji pomoc
427: Skřítek| ID:3 |Čekám dokud je Santa vzhůru
342: Santa| ID:0 |Čekám na writing
491: Skřítek| ID:4 |Čekám ve skřítkovské frontě
491: Skřítek| ID:5 |Čekám ve skřítkovské frontě
478: Skřítek| ID:6 |čekám na semafor santaAwake, jsem třetí skřítek v dílně (chci říct, že santa je vzhůru)
403: Skřítek| ID:54 |Začínám
491: Skřítek| ID:8 |Čekám ve skřítkovské frontě
427: Skřítek| ID:29 |Čekám dokud je Santa vzhůru
491: Skřítek| ID:9 |Čekám ve skřítkovské frontě
491: Skřítek| ID:14 |Čekám ve skřítkovské frontě
491: Skřítek| ID:10 |Čekám ve skřítkovské frontě
491: Skřítek| ID:11 |Čekám ve skřítkovské frontě
